work_id,scope,audit_tranche,audit_shard,risk_priority,formid,editor_id,canonical_source_plugin,direct_read,classification,deep_read,owner_verdict,tagged_rows,crossgen,promoted,post_readback,notes
COREQ-0653,core,V02,V02-02,standard,Skyrim.esm:046D98,DialogueRiftenMjollHouseScene02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0654,core,V02,V02-02,standard,Skyrim.esm:046D9A,DialogueRiftenRaggedFlagonScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0655,core,V02,V02-02,standard,Skyrim.esm:046D9C,DialogueRiftenRaggedFlagonScene02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0656,core,V02,V02-02,standard,Skyrim.esm:046D9E,DialogueRiftenFisheryScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0657,core,V02,V02-02,standard,Skyrim.esm:046DA0,DialogueRiftenFisheryScene02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0658,core,V02,V02-02,standard,Skyrim.esm:046DA3,DialogueRiftenFisheryScene03,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0659,core,V02,V02-02,standard,Skyrim.esm:046DA5,DialogueRiftenFisheryScene04,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0660,core,V02,V02-02,standard,Skyrim.esm:046DA7,DialogueRiftenKeepScene11,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0661,core,V02,V02-02,standard,Skyrim.esm:046DA9,DialogueRiftenElgrimsElixirsScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0662,core,V02,V02-02,standard,Skyrim.esm:046DAB,DialogueRiftenElgrimsElixirsScene02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0663,core,V02,V02-02,standard,Skyrim.esm:046ED0,CreatureDialogueDragonPriest,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0664,core,V02,V02-02,existing-core-row,Skyrim.esm:046EF0,MQ303,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,direct_mcp_review=ok; existing authored row ownership reconfirmed by direct QUST readback.
COREQ-0665,core,V02,V02-02,existing-core-row,Skyrim.esm:046EF2,MQ305,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,direct_mcp_review=ok; existing authored row ownership reconfirmed by direct QUST readback.
COREQ-0666,core,V02,V02-02,standard,Skyrim.esm:046EF3,MQ306,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0667,core,V02,V02-02,standard,Skyrim.esm:04737F,CreatureDialogueHorker,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0668,core,V02,V02-02,standard,Skyrim.esm:047AE6,DGIntimidateQuest,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0669,core,V02,V02-02,standard,Skyrim.esm:048121,dunFrostflowAbyssQST,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; owner-approved tagged row; cross-generation and promotion pending. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0670,core,V02,V02-02,standard,Skyrim.esm:048364,dunBluePalaceWingQST,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0671,core,V02,V02-02,standard,Skyrim.esm:049DB2,dunSaarthal,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0672,core,V02,V02-02,existing-core-row,Skyrim.esm:04A37B,DA08,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,direct_mcp_review=ok; existing authored row ownership reconfirmed by direct QUST readback.
COREQ-0673,core,V02,V02-02,standard,Skyrim.esm:04A602,WEDA02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0674,core,V02,V02-02,standard,Skyrim.esm:04B2A1,dunTrevasWatchQST,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,direct_mcp_review=ok; existing authored row ownership reconfirmed by direct QUST readback.
COREQ-0675,core,V02,V02-02,standard,Skyrim.esm:04BA68,MQ302Test,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0676,core,V02,V02-02,standard,Skyrim.esm:04BA6C,dunTalkingStoneQST,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0677,core,V02,V02-02,standard,Skyrim.esm:04C2FA,DialogueGiant,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0678,core,V02,V02-02,standard,Skyrim.esm:04C49D,FollowerCommentary01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0679,core,V02,V02-02,standard,Skyrim.esm:04C5A4,DialogueDraugr,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0680,core,V02,V02-02,standard,Skyrim.esm:04C6EB,FollowerCommentary02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0681,core,V02,V02-02,standard,Skyrim.esm:04C727,FollowerCommentary03,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0682,core,V02,V02-02,existing-core-row,Skyrim.esm:04CECE,MQ201Malborn,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,direct_mcp_review=ok; existing authored row ownership reconfirmed by direct QUST readback.
COREQ-0683,core,V02,V02-02,standard,Skyrim.esm:04CEDE,dunFolgunthurQST,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0684,core,V02,V02-02,standard,Skyrim.esm:04D217,DA11FIN,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0685,core,V02,V02-02,standard,Skyrim.esm:04D2A6,CreatureDialogueCow,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0686,core,V02,V02-02,standard,Skyrim.esm:04D2A7,CreatureDialogueIceWraith,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0687,core,V02,V02-02,standard,Skyrim.esm:04D78E,DialogueFalkreath,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0688,core,V02,V02-02,standard,Skyrim.esm:04D917,DA02KillFriend,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0689,core,V02,V02-02,standard,Skyrim.esm:04DBC5,TGDialogueKarliah,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0690,core,V02,V02-02,standard,Skyrim.esm:04E4B5,WE02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0691,core,V02,V02-02,existing-core-row,Skyrim.esm:04E50D,MQ102,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,direct_mcp_review=ok; existing authored row ownership reconfirmed by direct QUST readback.
COREQ-0692,core,V02,V02-02,standard,Skyrim.esm:04E667,dunFaldarsToothQST,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0693,core,V02,V02-02,standard,Skyrim.esm:04E848,CreatureDialogueAtronachFrost,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0694,core,V02,V02-02,standard,Skyrim.esm:04E857,CWSiegeAttackObj,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0695,core,V02,V02-02,standard,Skyrim.esm:04EC52,RoriksteadFreeform,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; owner-approved tagged row; cross-generation and promotion pending. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0696,core,V02,V02-02,standard,Skyrim.esm:04EEF6,WEWIKill06,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0697,core,V02,V02-02,standard,Skyrim.esm:04EF25,TG00SPArrest,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0698,core,V02,V02-02,standard,Skyrim.esm:04F8BF,CWAttackCity,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0699,core,V02,V02-02,standard,Skyrim.esm:0504F0,CWMission07,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; owner-approved tagged row; cross-generation and promotion pending. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0700,core,V02,V02-02,standard,Skyrim.esm:050763,TG04SP,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0701,core,V02,V02-02,standard,Skyrim.esm:050AF1,WIChangeLocation09,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0702,core,V02,V02-02,standard,Skyrim.esm:050CE3,WIDragonKilled,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0703,core,V02,V02-02,standard,Skyrim.esm:050F2E,DBEntranceQuest,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0704,core,V02,V02-02,standard,Skyrim.esm:051417,DarkBrotherhoodadditionalNPCDialogue,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0705,core,V02,V02-02,standard,Skyrim.esm:05160C,dunRannveigQST,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0706,core,V02,V02-02,standard,Skyrim.esm:05179E,DialogueRiftenHonorhallScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0707,core,V02,V02-02,standard,Skyrim.esm:051B04,DialogueSaarthalExteriorConvoScene2,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0708,core,V02,V02-02,standard,Skyrim.esm:051B06,DialogueSaarthalExteriorConvoScene3,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0709,core,V02,V02-02,standard,Skyrim.esm:051B08,DialogueSaarthalInteriorConvoScene1,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0710,core,V02,V02-02,standard,Skyrim.esm:051B0A,DialogueSaarthalInteriorConvoScene2,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0711,core,V02,V02-02,standard,Skyrim.esm:05222D,CWfortSungardQST,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0712,core,V02,V02-02,existing-core-row,Skyrim.esm:052795,DA02KillObj,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,direct_mcp_review=ok; existing authored row ownership reconfirmed by direct QUST readback.
COREQ-0713,core,V02,V02-02,standard,Skyrim.esm:052B8E,DialogueDragonBridgeFarmScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0714,core,V02,V02-02,standard,Skyrim.esm:052B8F,DialogueDragonBridgeFarmScene02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0715,core,V02,V02-02,standard,Skyrim.esm:052B94,DialogueDragonBridgeHorgeirsHouseScene02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0716,core,V02,V02-02,standard,Skyrim.esm:052B95,DialogueDragonBridgeHorgeirsHouseScene03,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0717,core,V02,V02-02,standard,Skyrim.esm:052B96,DialogueDragonBridgeHorgeirsHouseScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0718,core,V02,V02-02,standard,Skyrim.esm:052B97,DialogueDragonBridgeTavernScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0719,core,V02,V02-02,standard,Skyrim.esm:052B98,DialogueDragonBridgeTavernScene02,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0720,core,V02,V02-02,standard,Skyrim.esm:052B9C,DialogueFalkreathDeadMansDrinkScene04,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0721,core,V02,V02-02,standard,Skyrim.esm:052B9F,DialogueFalkreathDeadMansDrinkScene11,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0722,core,V02,V02-02,standard,Skyrim.esm:053305,FreeformRiften01,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; owner-approved tagged row; cross-generation and promotion pending. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0723,core,V02,V02-02,standard,Skyrim.esm:053306,FreeformRiften02,Skyrim.esm,ok,AMBIGUOUS,ok,UNREVIEWED,inert,-,-,-,direct_mcp_review=ok; QF decompile proves both opposed branches share s200 so stage-only routing cannot distinguish them.
COREQ-0724,core,V02,V02-02,standard,Skyrim.esm:053307,FreeformRiften03,Skyrim.esm,ok,AMBIGUOUS,ok,UNREVIEWED,inert,-,-,-,direct_mcp_review=ok; QF decompile proves both opposed branches share s200 so stage-only routing cannot distinguish them.
COREQ-0725,core,V02,V02-02,standard,Skyrim.esm:053308,FreeformRiften04,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; s200 exact ingredient-commission terminal resolved from INFO TIF and official QF fragments; cross-generation and promotion pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0726,core,V02,V02-02,standard,Skyrim.esm:053309,FreeformRiften05,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; owner-approved tagged row; cross-generation and promotion pending. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0727,core,V02,V02-02,standard,Skyrim.esm:053318,FreeformRiften06,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; s200 exact wedding-band material handoff resolved from INFO TIF and official QF fragments; cross-generation and promotion pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0728,core,V02,V02-02,standard,Skyrim.esm:05331A,FreeformRiften07,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; s200 exact ingredient handoff resolved from INFO TIF and official QF fragments; no hunt inference; cross-generation and promotion pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0729,core,V02,V02-02,standard,Skyrim.esm:05331B,FreeformRiften08,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; owner-approved tagged row; cross-generation and promotion pending. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0730,core,V02,V02-02,standard,Skyrim.esm:05331C,FreeformRiften09,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; owner-approved tagged row; cross-generation and promotion pending. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0731,core,V02,V02-02,standard,Skyrim.esm:05331D,FreeformRiften10,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; s200 exact ancestral-forge supply terminal resolved from INFO TIF and official QF fragments; cross-generation and promotion pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0732,core,V02,V02-02,existing-core-row,Skyrim.esm:053511,MS05,Skyrim.esm,ok,APPROVED,not-needed,APPROVED,not-needed,not-needed,ok,ok,direct_mcp_review=ok; existing authored row ownership reconfirmed by direct QUST readback.
COREQ-0733,core,V02,V02-02,standard,Skyrim.esm:053804,FreeformMarkarthO,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; owner-approved tagged row; cross-generation and promotion pending. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0734,core,V02,V02-02,standard,Skyrim.esm:05478C,CR08EditorMonitoring,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0735,core,V02,V02-02,standard,Skyrim.esm:054880,MS02EscapeMadanachEnding,Skyrim.esm,ok,STRUCTURAL-SILENT,ok,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; QF decompile proves child s100 sets parent MS02 s100 then stops; parent owns the outcome.
COREQ-0736,core,V02,V02-02,standard,Skyrim.esm:0548D5,CWResetGarrison2,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0737,core,V02,V02-02,standard,Skyrim.esm:0548D6,CWResetGarrison3,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0738,core,V02,V02-02,standard,Skyrim.esm:0548D7,CWResetGarrison4,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0739,core,V02,V02-02,standard,Skyrim.esm:0548D8,CWResetGarrison5,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0740,core,V02,V02-02,standard,Skyrim.esm:0548D9,CWResetGarrison6,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0741,core,V02,V02-02,standard,Skyrim.esm:0548DA,CWResetGarrison7,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0742,core,V02,V02-02,standard,Skyrim.esm:0548DB,CWResetGarrison8,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0743,core,V02,V02-02,standard,Skyrim.esm:0549F3,TG03SP,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0744,core,V02,V02-02,standard,Skyrim.esm:054AAC,CWPrepareCity,Skyrim.esm,ok,SEMANTIC-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0745,core,V02,V02-02,standard,Skyrim.esm:054D0A,MG01Pointer,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
COREQ-0746,core,V02,V02-02,standard,Skyrim.esm:0555DD,FreeformDragonBridge01,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; owner-approved tagged row; cross-generation and promotion pending. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0747,core,V02,V02-02,standard,Skyrim.esm:0557E9,FreeformRiften15,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; s200 exact paid commercial delivery resolved from INFO TIF and official QF fragments; cross-generation and promotion pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0748,core,V02,V02-02,standard,Skyrim.esm:0557F3,FreeformRiften16,Skyrim.esm,ok,APPROVED,ok,APPROVED,ok,ok,ok,ok,direct_mcp_review=ok; s200 exact repaired-sword delivery resolved from INFO TIF and official QF fragments; cross-generation and promotion pending root closeout. direct_post_promotion_readback=ok; route_evidence=ok; runtime_marker_check=ok; compile=ok.
COREQ-0749,core,V02,V02-02,standard,Skyrim.esm:055977,dunMidden01QST,Skyrim.esm,ok,AMBIGUOUS,ok,UNREVIEWED,inert,-,-,-,direct_mcp_review=ok; QF decompile does not prove which player choice owns s80 versus s100; release-or-fight remains unsafe.
COREQ-0750,core,V02,V02-02,standard,Skyrim.esm:055A6E,DialogueMarkarthBlacksmithScene01,Skyrim.esm,ok,STRUCTURAL-SILENT,not-needed,SILENT,not-needed,not-needed,not-needed,not-needed,direct_mcp_review=ok; no distinct player-authored devotional outcome at a safe stage.
