separator,mod,plugin,signature,formid,editor_id,name,covered_by,triage,candidate_deities,notes,candidate_deities_canonical,reachable_races
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000D1A,LuxLotDRkund06LS03,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000D1A. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000D3A,LuxLotDSnowTempleLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000D3A. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000D3D,LuxLotDSnowTempleLS02,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000D3D. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000D40,LuxLotDSnowTempleLS03,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000D40. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000D47,LuxLotDTrinimac01LS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000D47. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000D4A,LuxLotDTrinimac01LS02,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000D4A. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000D4D,LuxLotDTrinimac01LS03,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000D4D. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000D82,LuxLotDWindcallerPassNLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000D82. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000D97,LuxLotDAirhsipLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000D97. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000DAD,LuxLotDEastExhibitHallLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000DAD. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000DAF,LuxLotDEastExhibitHallLS02,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000DAF. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000DB1,LuxLotDEastExhibitHallLS03,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000DB1. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000EDB,LuxMzuhlacLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000EDB. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000EDC,LuxMzuhlacLS02,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000EDC. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000EDD,LuxMzuhlacLS03,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000EDD. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,ACTI,Lux - Legacy of the Dragonborn patch.esp:000EDE,LuxMzuhlacTowerLS,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - legacy of the dragonborn patch.esp|000EDE. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Mirele Bismath Reborn.esp,ACTI,Lux - Mirele Bismath Reborn.esp:000814,LuxMireleBismathBasementLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - mirele bismath reborn.esp|000814. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Mirele Bismath Reborn.esp,ACTI,Lux - Mirele Bismath Reborn.esp:000821,LuxMireleBismathMainLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - mirele bismath reborn.esp|000821. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Mirele Bismath Reborn.esp,ACTI,Lux - Mirele Bismath Reborn.esp:000827,LuxMireleBismathTowerLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - mirele bismath reborn.esp|000827. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Morskom Estate patch.esp,ACTI,Lux - Morskom Estate patch.esp:00081D,LuxMorskomCentralLS,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - morskom estate patch.esp|00081D. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Morskom Estate patch.esp,ACTI,Lux - Morskom Estate patch.esp:000820,LuxMorskomWingLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - morskom estate patch.esp|000820. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Morskom Estate patch.esp,ACTI,Lux - Morskom Estate patch.esp:000825,LuxMorskomWingDownstairsLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - morskom estate patch.esp|000825. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Morskom Estate patch.esp,ACTI,Lux - Morskom Estate patch.esp:00082F,LuxMorskomWingLS02,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - morskom estate patch.esp|00082F. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Morskom Estate patch.esp,ACTI,Lux - Morskom Estate patch.esp:00083D,LuxMorskomKitchenLS,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - morskom estate patch.esp|00083D. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Olenveld patch.esp,ACTI,Lux - Olenveld patch.esp:00012D,LuxStaroftheNorthLS1stFloor,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - olenveld patch.esp|00012D. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Olenveld patch.esp,ACTI,Lux - Olenveld patch.esp:00012E,LuxStaroftheNorthLS2ndFloor,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - olenveld patch.esp|00012E. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Olenveld patch.esp,ACTI,Lux - Olenveld patch.esp:00012F,LuxStaroftheNorthLSBasement,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - olenveld patch.esp|00012F. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Olenveld patch.esp,ACTI,Lux - Olenveld patch.esp:000134,LuxStaroftheNorthLSMain,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - olenveld patch.esp|000134. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Olenveld patch.esp,ACTI,Lux - Olenveld patch.esp:0001FA,LuxBlackWatchLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - olenveld patch.esp|0001FA. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Olenveld patch.esp,ACTI,Lux - Olenveld patch.esp:0001FB,LuxBlackWatchLS02,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - olenveld patch.esp|0001FB. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Olenveld patch.esp,ACTI,Lux - Olenveld patch.esp:0001FC,LuxBlackWatchLS03,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - olenveld patch.esp|0001FC. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Olenveld patch.esp,ACTI,Lux - Olenveld patch.esp:000257,LuxDocksFortLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - olenveld patch.esp|000257. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Olenveld patch.esp,ACTI,Lux - Olenveld patch.esp:00025C,LuxMausoleumLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - olenveld patch.esp|00025C. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Olenveld patch.esp,ACTI,Lux - Olenveld patch.esp:000260,LuxNewVeldFortBigLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - olenveld patch.esp|000260. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Olenveld patch.esp,ACTI,Lux - Olenveld patch.esp:000261,LuxNewVeldFortBigLS02,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - olenveld patch.esp|000261. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Olenveld patch.esp,ACTI,Lux - Olenveld patch.esp:00026F,LuxUWGrandArchivesLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - olenveld patch.esp|00026F. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Remiel patch.esp,ACTI,Lux - Remiel patch.esp:000005,LuxShip5,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - remiel patch.esp|000005. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Remiel patch.esp,ACTI,Lux - Remiel patch.esp:000014,LuxArkngchalLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - remiel patch.esp|000014. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Remiel patch.esp,ACTI,Lux - Remiel patch.esp:000018,LuxArkngchalLS02,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - remiel patch.esp|000018. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Remiel patch.esp,ACTI,Lux - Remiel patch.esp:000019,LuxArkngchalLS03,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - remiel patch.esp|000019. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Remiel patch.esp,ACTI,Lux - Remiel patch.esp:00001D,LuxArkngchalLS04,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - remiel patch.esp|00001D. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Remiel patch.esp,ACTI,Lux - Remiel patch.esp:000020,LuxArkngchalLS05,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - remiel patch.esp|000020. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Remiel patch.esp,ACTI,Lux - Remiel patch.esp:000026,LuxArkngchalLS06,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - remiel patch.esp|000026. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Remiel patch.esp,ACTI,Lux - Remiel patch.esp:00080C,LuxShip1,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - remiel patch.esp|00080C. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Remiel patch.esp,ACTI,Lux - Remiel patch.esp:00080F,LuxShip2,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - remiel patch.esp|00080F. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Remiel patch.esp,ACTI,Lux - Remiel patch.esp:00081C,LuxShip3,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - remiel patch.esp|00081C. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Remiel patch.esp,ACTI,Lux - Remiel patch.esp:00081F,LuxShip4,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - remiel patch.esp|00081F. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Ryften Windows patch.esp,ACTI,Lux - Ryften Windows patch.esp:000823,RYFTENBriarManorLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - ryften windows patch.esp|000823. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Ryften Windows patch.esp,ACTI,Lux - Ryften Windows patch.esp:000826,RYFTENBriarManorLS02,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - ryften windows patch.esp|000826. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Ryften Windows patch.esp,ACTI,Lux - Ryften Windows patch.esp:000829,RYFTENBriarManorLS03,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - ryften windows patch.esp|000829. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Ryften Windows patch.esp,ACTI,Lux - Ryften Windows patch.esp:000861,RYFTENBollisLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - ryften windows patch.esp|000861. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Ryften Windows patch.esp,ACTI,Lux - Ryften Windows patch.esp:000866,RYFTENSnowShodLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - ryften windows patch.esp|000866. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Ryften Windows patch.esp,ACTI,Lux - Ryften Windows patch.esp:000868,RYFTENSnowShodLS02,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - ryften windows patch.esp|000868. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Ryften Windows patch.esp,ACTI,Lux - Ryften Windows patch.esp:00086A,RYFTENSnowShodLS03,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - ryften windows patch.esp|00086A. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Ryften Windows patch.esp,ACTI,Lux - Ryften Windows patch.esp:0008A1,RYFTENMjollHouseLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - ryften windows patch.esp|0008A1. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Ryften Windows patch.esp,ACTI,Lux - Ryften Windows patch.esp:0008A5,RyftenMjollHouseLS02,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - ryften windows patch.esp|0008A5. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Ryften Windows patch.esp,ACTI,Lux - Ryften Windows patch.esp:0008A9,RYFTENMercerHouseLS06,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - ryften windows patch.esp|0008A9. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
City Stuff - Patches,Ryn's Riverwood Patch Collection - rerun,Lux - Ryn's Riverwood Trader patch.esp,ACTI,Lux - Ryn's Riverwood Trader patch.esp:000815,LuxRynsRiverwoodTraderLS01,,none,NO-ROWS,,[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - ryn's riverwood trader patch.esp|000815. Primary review: compatibility or patch records are not authoritative devotional sources; defining records are reviewed separately.,,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Saints and Seducers Extended Cut patch.esp,ACTI,Lux - Saints and Seducers Extended Cut patch.esp:00084F,LuxSaintsExtendedBorogovLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - saints and seducers extended cut patch.esp|00084F. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Saints and Seducers Extended Cut patch.esp,ACTI,Lux - Saints and Seducers Extended Cut patch.esp:000852,LuxSaintsExtendedBorogovLS02,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - saints and seducers extended cut patch.esp|000852. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Saints and Seducers Extended Cut patch.esp,ACTI,Lux - Saints and Seducers Extended Cut patch.esp:000942,LuxSaintsSeducersExtendedDrownedLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - saints and seducers extended cut patch.esp|000942. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Saints and Seducers Extended Cut patch.esp,ACTI,Lux - Saints and Seducers Extended Cut patch.esp:00094A,SaintsSewersLS12,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - saints and seducers extended cut patch.esp|00094A. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Saints and Seducers Extended Cut patch.esp,ACTI,Lux - Saints and Seducers Extended Cut patch.esp:00096B,SaintsSewersLS01,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - saints and seducers extended cut patch.esp|00096B. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Saints and Seducers Extended Cut patch.esp,ACTI,Lux - Saints and Seducers Extended Cut patch.esp:00096C,SaintsSewersLS02,,none,NO-ROWS,,"[ARR25-NQ] Rejected after direct record review; 1 load-order occurrence(s) reconciled to defining record ACTI|lux - saints and seducers extended cut patch.esp|00096C. Primary review: lighting, compatibility, update, or balance patch records are not authoritative devotional sources; defining content records are reviewed separately.",,
