"id","eventClass","deity_or_race","tier","expected_toast","expected_chronicle","expected_ledger","expected_timing","emit_site_hint","notes"
"neglect.recover.patron","neglect","ALL","n/a","Y","Y","N","dawn","SHOULD EMIT but NO SurfaceTransition(""neglect"",...,""recover"",...) call found. Recover direction exists in tone tables (1802 TransitionJournalLine, 15234 JournalToneToTitle, 15268 JournalToneToValence) but is never fired. Nearest site: PatronToastState reset at :8811","GAP: neglect recovery (patron returns to piety activity, neglect clears) has NO surface emit. PatronToastState resets to 0 at :8811 when neglect clears but there is no SurfaceTransition/AppendBookOfDaysEntry/toast for the recover direction. Journal tone tables at 1802/15234 define 'neglect.recover' copy -> it was DESIGNED. expected_toast=Y, expected_chronicle=Y (design-intent), timing=dawn; note: wire SurfaceTransition(""neglect"",deityName,""recover"",...) at the neglect-clear path. Ledger=N (recovery is not a piety award)."
"rite.orc.trial-of-iron","rite","Orc","n/a","Y","Y","Y","immediate","PDV__ManagerQuest.psc:3242 ApplyOrcTrialOfIron - AwardPiety(PDV_Malacath,0.5,""Took up the Trial of Iron"") [ledger] + :3243 AppendBookOfDaysEntry(...,""substrate.act"",""malacath"",False) [chronicle] + :3244 Debug.Notification [vanilla only]","MERGED rite.orc.trial-of-iron + substrate.act.orc-trial-of-iron (same emit site). 6f rite. Chronicle + ledger (AwardPiety->RecordDeityDriver) correctly wired. TOAST GAP: only Debug.Notification fires, no SendPrismaEventToast/SurfaceTransition. RUBRIC: a rite beat should have a Prisma overlay toast -> expected_toast=Y (design-intent), note current emit is Debug.Notification only. 7-day cooldown anti-farm cap."
"rite.redguard.remembering-of-names","rite","Redguard","n/a","Y","Y","Y","immediate","PDV__ManagerQuest.psc:3392 ApplyRedguardRemembering - AwardPiety(PDV_Tuwhacca,0.5,""Took up the Remembering of Names"") [ledger] + :3393 AppendBookOfDaysEntry(...,""substrate.act"",""tu-whacca"",False) [chronicle] + :3394 Debug.Notification [vanilla only]","MERGED rite + substrate.act (same site). 6f rite. Chronicle + ledger wired. TOAST GAP: Debug.Notification only, no Prisma overlay -> expected_toast=Y (design-intent), note missing Prisma toast. 7-day cooldown anti-farm cap."
"rite.altmer.discipline-of-return","rite","Altmer","n/a","Y","Y","Y","immediate","PDV__ManagerQuest.psc:3501 ApplyAltmerDiscipline - AwardPiety(PDV_AuriEl,0.5,""Set a Discipline of Return"") [ledger] + :3502 AppendBookOfDaysEntry(...,""substrate.act"",""auri-el"",False) [chronicle] + :3503 Debug.Notification [vanilla only]","MERGED rite + substrate.act (same site). 6f rite. Chronicle + ledger wired. TOAST GAP: Debug.Notification only -> expected_toast=Y (design-intent), note missing Prisma toast. 7-day cooldown anti-farm cap."
"rite.argonian.hist-adaptation","rite","Argonian","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:3825 ApplyArgonianAdaptation - only playerRef.AddSpell + Debug.Notification; NO AwardPiety, NO AppendBookOfDaysEntry, NO SendPrismaEventToast","Significant GAP: the Hist Adaptation rite (permanent body-reshaping choice) emits ONLY Debug.Notification. expected_ledger=N (the rite is a permanent transformation, not a piety signal). But per rubric a milestone the player should notice -> expected_toast=Y, expected_chronicle=Y (pinned, design-intent), note: wire SendPrismaEventToast/SurfaceTransition + pinned AppendBookOfDaysEntry at ApplyArgonianAdaptation. TryArgonianAdaptationRite guard already enforces once-permanent gating."
"emergence.bosmer.path-confirm","emergence","Bosmer","n/a","Y","Y","Y","immediate","PDV__ManagerQuest.psc:15952 ConfirmBosmerPendingTransition - SendPrismaShiftToast [toast] + AwardCuratedSignal for Living Story/Exchange/Bandit Road [ledger via AwardPiety->RecordDeityDriver]; NO AppendBookOfDaysEntry at confirm site; suggestion popup at HandleBosmerSuggestionPopup:15888 fires SendPrismaToast on accept/refuse","DISTINCT from reorientation.bosmer.path because it carries a piety move (ledger=Y) where the bare path-shift surface does not. Toast wired (SendPrismaShiftToast); ledger wired (AwardCuratedSignal which DOES pass a reason -> RecordDeityDriver fires). CHRONICLE GAP: no AppendBookOfDaysEntry at ConfirmBosmerPendingTransition; dawn snapshot diff catches the mode change but per rubric a path-confirmation milestone wants an immediate pinned entry -> expected_chronicle=Y (design-intent), note missing immediate emit. Old Contract routes to EnterBosmerOldContract separately."
"digest.dawn","digest","ALL","n/a","Y","Y","N","dawn","PDV__ManagerQuest.psc:8824-8825 SendPrismaEventToast(""dawn"", None,...) + :8554 AppendBookOfDaysEntry(BuildBookOfDaysDigestLine(), today, ""dawn.digest"", ""journal"", False) gated on _dawnHadActivity","MERGED digest.dawn.named-acts + favor.dawn-digest (same dawn pass). The dawn pass emits a ""dawn"" toast (no deity, signals day rollover) AND the digest chronicle naming up to 3 gods fed that day (+""among others""). Both gated on _dawnHadActivity (set at :8677 when any deity had net non-zero clamped piety). Ledger=N: the digest is a chronicle summary, individual drivers were recorded per-act at immediate timing. TodayFed built by RunDawnConsolidateScratch. NOTE on the finder split: one finder marked the digest chronicle as toast=N - corrected to Y because the dawn pass DOES emit a SendPrismaEventToast(""dawn"",...)."
"favor.active-patron","favor","ALL","n/a","Y","Y","Y","immediate","PDV__ManagerQuest.psc:9206-9207 SendPrismaEventToast(""favor"", deity,...) gated on deity==_activeDeity; :9199 RecordDeityDriver gated on reason!="""" && IsDashboardTrackedDeity; chronicle via dawn digest (RunDawnBookOfDays:8554 BuildBookOfDaysDigestLine)","Routine per-act favor for the ACTIVE PATRON. Toast immediate (only when deity==_activeDeity, prevents spam). Ledger immediate (RecordDeityDriver) when reason non-empty AND IsDashboardTrackedDeity. Chronicle is DAWN-DEFERRED via the digest (timing field = immediate marks the toast+ledger surfaces; chronicle rolls into the dawn digest, captured in digest.dawn). RUBRIC-CONSISTENT with routine-favor rule (active patron toast=Y, chronicle via digest, ledger immediate)."
"favor.non-patron","favor","ALL","n/a","N","N","Y","dawn","PDV__ManagerQuest.psc:8596 BuildBookOfDaysDigestLine names at most 3 gods then 'among others'; the aggregate dawn digest is the only chronicle path for non-patron piety moves. No per-non-patron-deity AppendBookOfDaysEntry is emitted. AwardPiety -> RecordDeityDriver (:9199) is the ledger path.","Corrected from a prior registry row that claimed expected_chronicle=Y/timing=dawn, implying a per-non-patron-deity journal line. BuildBookOfDaysDigestLine(:8596-8631) names at most 3 gods; beyond 3 they are collapsed to 'among others' with no individual entry. expected_chronicle=N here: individual non-patron beats are NOT individually chronicled -- coverage is only via the shared dawn digest row (digest.dawn), which has its own registry entry. The prior Y was optimistic and would cause false verifier failures expecting a per-deity journal line that BuildBookOfDaysDigestLine never emits. expected_ledger=Y: piety moves via AwardPiety -> RecordDeityDriver for any deity including non-patron."
"favor.khajiit-emphasis","favor","Khajiit","n/a","Y","Y","Y","immediate","PDV__ManagerQuest.psc:9221-9231 IsDashboardTrackedDeity returns true for the Khajiit emphasis deity without a formal patron commit; :9206-9207 toast still gated on deity==_activeDeity; :9199 RecordDeityDriver fires via the IsDashboardTrackedDeity path","Khajiit focused-emphasis deity gets LEDGER coverage even without a formal patron commitment (IsDashboardTrackedDeity exception). Toast still requires deity==_activeDeity, so a pre-commit emphasis deity gets ledger but NOT toast unless it IS the active patron (matrix shows the maximal active-patron case Y/Y/Y; pre-commit case is N-toast). Chronicle via dawn digest. RUBRIC-CONSISTENT."
"signal.curated","signal","ALL","n/a","Y","Y","Y","immediate","PDV__ManagerQuest.psc:2484 AwardCuratedSignal calls AwardPiety(deity, delta, ""a devotional rite"") [reason non-empty -> RecordDeityDriver fires at :9199]; toast at :9207 for active patron; chronicle via dawn digest :8554","AwardCuratedSignal (multiplier==1.0 path) passes ""a devotional rite"" as reason so RecordDeityDriver fires -> ledger=Y. Toast only for active patron; chronicle dawn-deferred. VERIFIED line 2484. All three surfaces covered for the active patron. RUBRIC-CONSISTENT."
"signal.curated-scaled","signal","ALL","n/a","Y","Y","Y","immediate","PDV__ManagerQuest.psc:2518 AwardCuratedSignalScaled calls AwardPiety(deity, scaledDelta) with NO reason arg; RecordDeityDriver at :9198 gated on reason!="""" so DOES NOT FIRE; toast at :9207 for active patron; chronicle via dawn digest","VERIFIED GAP (read 2491-2518): AwardCuratedSignalScaled (multiplier!=1.0 path) calls AwardPiety WITHOUT the reason string, unlike AwardCuratedSignal at :2484. The reason gate at :9198 means RecordDeityDriver is SKIPPED - the Ledger does NOT record the driver for scaled curated signals. This is the DOMINANT curated path (most signals dispatch via the Scaled variant with a multiplier), so this is the single highest-impact ledger gap in the substrate/signal slices. expected_ledger=Y (design-intent per the 'all data points reach the Ledger' owner rule); current emit is ledger=N. FIX: pass a reason string from AwardCuratedSignalScaled to AwardPiety. Toast/chronicle as for signal.curated."
"signal.likes-dislikes","signal","ALL","n/a","Y","Y","Y","immediate","PDV__ManagerQuest.psc:7487-7489 ScoreAction fan-out calls AwardPiety(deity, delta*multiplier, reason) with caller reason -> RecordDeityDriver fires at :9199; toast at :9207; chronicle via dawn digest. Origin-gated overlay rows via PDV_DeityBase.psc:127-135 (eventType+10000+originRace key)","MERGED signal.likes-dislikes + signal.likes-dislikes.origin-gated (same AwardPiety path; origin-gated overlay rows just double the scored-action key to avoid shared daily-cap interference). Routes through ScoreAction->ScoreFromTable; fan-out at :7487-7489 passes a reason so RecordDeityDriver fires -> ledger=Y. Only NATIVE-stance deities score (ScoreFromTable:114-116 gate) so foreign deities correctly score 0. Toast only for active patron; chronicle dawn-deferred. RUBRIC-CONSISTENT."
"signal.rivalry","signal","ALL","n/a","Y","Y","Y","immediate","PDV__ManagerQuest.psc:17704-17736 ApplyRivalryPenalties calls AwardPietyInternal(rivalDeity, rivalAmount, False) [no reason -> RecordDeityDriver skipped] then SendPrismaEventToast(""rivalry"", sourceDeity,...,rivalDeity.DeityName) at :17724","Rivalry penalty is a piety MOVE (negative) on the rival deity. Toast fires (event=rivalry, once per rival batch via rivalToastShown). Chronicle captures the rival in the dawn digest if the negative piety clamps non-zero. LEDGER GAP: AwardPietyInternal is called with NO reason (defaults """") so RecordDeityDriver does NOT fire - the rivalry-caused drain on the rival deity is invisible to the driver ring. RUBRIC FIX: finder set ledger=N; per the owner rule every piety move should reach the Ledger -> expected_ledger=Y (design-intent), note current emit is ledger=N (pass a reason to AwardPietyInternal). Same gap class as signal.curated-scaled."
"signal.contextual-favor","favor","ALL","n/a","Y","N","N","immediate","PDV__ManagerQuest.psc:11389-11406 SendContextualFavorToast -> SendPrismaEventToast(""favor"", favorDeity, contextText,"""",""""); NO AwardPiety, NO AppendBookOfDaysEntry; Kyne-lane pins to PDV_Kyne at :11402-11403","Contextual favor is the BUFF system (spell added to player), NOT a piety-moving signal. Toast fires (event=favor + context label). No piety delta -> no Ledger driver and no dawn-digest inclusion -> chronicle=N, ledger=N (CORRECT per rubric: pure buff beat, no piety move). The ""Quiet"" surfacing label suppresses even the toast for some buff families (:11391). Kyne-lane favors fire under broad Nord worship even without _activeDeity by pinning the deity explicitly. RUBRIC-CONSISTENT."
"substrate.act.lunar.khajiit","substrate","Khajiit","n/a","Y","N","Y","immediate","PDV__ManagerQuest.psc:5011 SendPrismaSubstrateProgress(""lunar"",...) in RecordKhajiitLunarObservance; :5046 same in RecordKhajiitRoadHomeCadence; tier-up branch -> SendPrismaSubstrateToast(""lunar"",""deepen"",...) at :12810","MERGED substrate.act.lunar + substrate.deepen.lunar (act and deepen are two phases of the SAME SendPrismaSubstrateProgress emit, :12810 picks 'act' vs 'deepen' by tierAfter>tierBefore). Ongoing Khajiit lunar substrate (moon observance, road-home cadence). Toast fires (act or deepen). No per-act chronicle -> chronicle=N. LEDGER CAVEAT: piety routes via AwardCuratedSignalScaled which (verified) drops the reason -> RecordDeityDriver may NOT fire; expected_ledger=Y per design but subject to the signal.curated-scaled gap. Lunar POSTURE shift is a separate reorientation row."
"substrate.act.hist.argonian","substrate","Argonian","n/a","Y","N","Y","immediate","PDV__ManagerQuest.psc:4016 SendPrismaSubstrateProgress(""hist"",...) in HandleArgonianNearWaterMaintenance; :5483/:5503/:5516/:5523/:5552 other Hist routes; sacred water :3932 SendPrismaSubstrateToast(""ArgonianHist"",""water"",...); deepen at :12810","MERGED hist act + hist deepen + sacred-water one-shot (all SendPrismaSubstrateProgress/SendPrismaSubstrateToast surfaces for the Hist substrate). Ongoing Hist maintenance (near-water, pulse, people, rest, void) + sacred-water one-shot. Toast fires (act/deepen/water). No per-act chronicle. Piety via AwardCuratedSignalScaled(PDV_Hist) -> ledger=Y by design but subject to the curated-scaled reason-gap. Hist POSTURE shift + shadowscale + posture-dream are separate rows. Sacred water is FormList-gated one-shot."
"substrate.act.hist.argonian.shadowscale","substrate","Argonian","n/a","Y","N","N","immediate","PDV__ManagerQuest.psc:4107 SendPrismaSubstrateToast(""ArgonianHist"",""shadowscale"",""The shadow closes over you..."",""void"",...) in HandleArgonianShadowscaleVeilActivation","DISTINCT: Shadowscale Veil activation (Void-pact branch), gated on IsVoidFullyActive() and void+people thresholds. Toast phase=shadowscale symbol=void. No piety move at activation -> ledger=N (the Void relation build-up that enables it is tracked separately). Chronicle=N. RUBRIC-CONSISTENT (no piety delta -> ledger=N)."
"substrate.act.hist.argonian.posture-dream","substrate","Argonian","n/a","Y","N","N","immediate","PDV__ManagerQuest.psc:4135 SendPrismaSubstrateToast(""ArgonianHist"",""dream"",dreamText,""hist"",GetArgonianHistPostureLabel()) in EmitArgonianPostureDream","DISTINCT: Hist posture dream, pure flavor beat keyed to posture, fired on posture transition (strong roll) or rare ambient. Explicitly noted at :4113 'Pure flavor; no piety, no substrate writes.' Toast=Y (posture-specific dream text), chronicle=N, ledger=N. RUBRIC-CONSISTENT."
"substrate.act.ancestor.dunmer","substrate","Dunmer","n/a","Y","N","Y","immediate","PDV__ManagerQuest.psc:4901 SendPrismaSubstrateProgress(""ancestor"",...,""Ancestor prayer marked."",""ancestor"",GetDunmerAncestorLayerLabel()) in DunmerAncestorPortableShrinePrayer; :4928 DunmerAncestorHomeBonus; deepen at :12810","MERGED act + deepen. Dunmer ancestor-layer acts (portable shrine prayer, ancestor-home bonus). AwardDunmerAncestorSpinePulse->AwardCuratedSignalScaled -> ledger=Y by design (subject to the curated-scaled reason-gap). No per-act chronicle. Curse silences the layer (:4897 silenced under vampirism, halved under werewolf). Layer-label change is the separate reorientation.dunmer.ancestor-layer row."
"substrate.act.ancestor.nord","substrate","Nord","n/a","Y","N","Y","immediate","PDV__ManagerQuest.psc:6610 SendPrismaSubstrateProgress(""ancestor"",...,""The old line remembered."",""shor"",...) in RecordNordAncestorSpine; :6634 RecordNordAncestralRest; :6659 RecordNordHearthReturn; deepen at :12810","MERGED act + deepen. Nord ancestor spine (ancestor-standing, ancestral rest, hearth return) - three sources funnel through SendPrismaSubstrateProgress. AwardCuratedSignalScaled(PDV_Shor) -> ledger=Y by design (curated-scaled reason-gap caveat). No per-act chronicle. Debug.Notification at rest/hearth sites only."
"substrate.act.ancestor.altmer","substrate","Altmer","n/a","Y","N","Y","immediate","PDV__ManagerQuest.psc:7303 SendPrismaSubstrateProgress(""altmer-heritage"",...,""The old line holds its shape."",""auriel"",...) in AwardAltmerAncestorSpinePulse; deepen at :12810","MERGED act + deepen. Altmer heritage substrate (sleep dreams, magic milestones feed it). AwardCuratedSignalScaled(PDV_AuriEl) -> ledger=Y by design (curated-scaled caveat). No per-act chronicle. Substrate token ""altmer-heritage""."
"substrate.act.ancestor.breton","substrate","Breton","n/a","Y","N","Y","immediate","PDV__ManagerQuest.psc:14117 SendPrismaSubstrateProgress(""breton-ancestor"",...,""The mixed inheritance answers."",""magnus"",...) in AwardBretonAncestorSpinePulse; deepen at :12810","MERGED act + deepen. Breton mixed-inheritance substrate. AwardCuratedSignalScaled(PDV_Magnus) -> ledger=Y by design (curated-scaled caveat). No per-act chronicle. Substrate token ""breton-ancestor""."
"substrate.act.ancestor.imperial","substrate","Imperial","n/a","Y","N","Y","immediate","PDV__ManagerQuest.psc:14509 SendPrismaSubstrateProgress(""imperial-civic"",...,""The old civic spine steadies."",""talos"",...) in AwardImperialAncestorSpinePulse; deepen at :12810","MERGED act + deepen. Imperial civic-ancestor substrate. AwardCuratedSignalScaled(PDV_Talos) -> ledger=Y by design (curated-scaled caveat). No per-act chronicle. Substrate token ""imperial-civic""."
"substrate.act.stronghold.orc","substrate","Orc","n/a","Y","N","Y","immediate","PDV__ManagerQuest.psc:5831 SendPrismaSubstrateToast(GetOrcLifeModeSubstrateToken(modeValue),""act"",""The code was marked."",""malacath"",GetOrcLifeModeLabel()) in RecordOrcLifeModeSignal when current mode matches signal mode","Orc life-mode substrate acts (stronghold/city/legionexile tokens, all surface identically via the shared function -> one row). AwardOrcAncestorSpineSignal->AwardCuratedSignalScaled -> ledger=Y by design (curated-scaled caveat). No per-act chronicle. The life-mode SWITCH itself is the separate reorientation.orc.lifemode row (uses SendPrismaShiftToast, ledger=N)."
"substrate.act.sect.redguard","substrate","Redguard","n/a","Y","N","Y","immediate","PDV__ManagerQuest.psc:6459 SendPrismaSubstrateToast(""sect"",""act"",""The Yokudan path was marked."",""sect"",GetRedguardSectLabel()) in RecordRedguardSectSignal when current sect matches signal sect","Redguard sect substrate acts (Crown/Forebear/Ash'abah). AwardRedguardAncestorSpinePietyPulse -> ledger=Y by design (curated-scaled caveat). No per-act chronicle. The sect SWITCH itself is the separate reorientation.redguard.sect row (SendPrismaShiftToast, ledger=N; 3-day lockout; Ash'abah entry needs a marked named-undead death-duty burden)."
"drift.warn","substrate","ALL","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc:1773 TransitionToneKey returns ""drift.warn"" for eventClass==""drift"", and JournalToneToTitle(:15249)/JournalToneToValence(:15283) have drift.warn entries -- but NO callsite ever passes eventClass=""drift"" to SurfaceTransition. All SurfaceTransition calls use tier|neglect|curse|reorientation (lines 7555, 8806, 10637, 11242, 12627). The drift.warn branch in TransitionToneKey is dead code.","Designed strain/warning beat: tone-table title ""The path strains"" and warning valence are authored (:15249/:15283) and the Today-tab driftLabel (GetPanelDriftLabel:2177) surfaces Quiet/Steady/Thinning on-query, but NO Prisma surface (toast or chronicle) is ever emitted. The concept is not collapsed into neglect.drop -- neglect fires at the drop floor, drift-warn should fire before that. GAP: SurfaceTransition(""drift"", ...) is never called. expected_ledger=N (no piety move here, it is a warning about trajectory). Either add a callsite at the piety-thinning threshold or retire the tone tables and collapse into the neglect path. Highest-confidence missing event class per completeness audit."
"emergence.onset","emergence","ALL","n/a","Y","Y","N","immediate","PDV__ManagerQuest.psc: no callsite exists. JournalToneToTitle(:15237) returns ""An emergence"" and JournalToneToValence(:15271) returns good for tone ""emergence.onset"". SurfaceTransition accepts eventClass ""emergence"" via the TransitionToneKey default pass-through. Nearest candidate site would be at first-contact/first-piety confirmation for an uncommitted player, but no such callsite exists for any race.","Generic first-emergence beat (a god first answering an uncommitted player) is authored in tone tables but wired for no race and never emitted. The only registry coverage for emergence is the Bosmer-specific emergence.bosmer.path-confirm row (which carries piety). The broader quiet-emergence milestone class the design names is absent. expected_ledger=N (no piety delta on the emergence beat itself; piety accrued via the underlying favor/signal that triggered it). Either add callsites per-race at the moment a deity first accumulates meaningful piety before commitment, or confirm this was superseded by the tier.reach Seeker beat and retire the tone tables."
"daedric.boon","daedric","ALL","n/a","Y","N","N","immediate","PDV__ManagerQuest.psc:12818 documents phase=""boon"" in the SendPrismaDaedricToast comment. app.js:831-878 fully renders boon (tone=good, title=""<Prince> is satisfied"", message=""The rite was answered."", listTitle=""<Prince>: boon""). app.js:668 maps alias daedric_boon->daedric. But SendPrismaDaedricToast is only ever called with phase=""price"" (:6958/:6960) or phase=""lapse"" (:12090). No callsite emits phase=""boon"".","Renderer is fully built for boon display (app.js:831-878, :2095 test fixture daedric_boon). Papyrus producer is absent -- the boon-counted/rite-satisfied beat for a Daedric pact is never surfaced. This may be the intended per-rite completion surface (analogous to substrate ""deepen"") that would fire when a Prince's rite is completed. Flag for adjudication: either add a SendPrismaDaedricToast(princeName, ""boon"", ...) callsite at rite-completion, or retire the renderer branch as dead. expected_ledger=N (boon is a narrative/tone beat, not a piety driver record; piety moves via the rite path itself)."
"substrate.thin","substrate","ALL","n/a","Y","N","N","immediate","PDV__ManagerQuest.psc:12808 SendPrismaSubstrateProgress only picks phase=""deepen"" (tierAfter > tierBefore) or phase=""act"" (multiplier > 0); it never picks ""thin"". app.js:677 maps substrate_thin->substrate; :2105 test fixture substrate_thin uses phase=""thin"", symbol=""ancestor"". The renderer substrate eventLanguage block handles phase==""thin"" with title ""<substrate> thin"" and message ""<substrate> are slipping from you"" but no Papyrus caller constructs this payload.","Cross-race gap: substrate erosion (Hist drifting Distant, ancestor layer decaying under curse silence :4897, lunar posture declining) is currently invisible as a substrate surface. Loss shows only as a posture/layer-label reorientation at dawn, not an immediate substrate-thinning toast. Renderer is built for it. Fix: add a branch to SendPrismaSubstrateProgress (or a new call path) that emits phase=""thin"" when tierAfter < tierBefore. Affects all substrate races: hist (Argonian), ancestor (Dunmer/Nord), lunar (Khajiit), stronghold (Orc), civic (Imperial), heritage (Altmer), breton-ancestor (Breton). expected_ledger=N (substrate thin is a directional warning toast, no piety delta). expected_chronicle=N (not a milestone entry)."
"signal.creed-violation.loss","signal","ALL","n/a","N","N","Y","immediate","PDV__ManagerQuest.psc:2518 AwardCuratedSignalScaled calls AwardPiety(deity, scaledDelta) with NO reason string -- reason defaults to """" so RecordDeityDriver(:9199) is called with reason="""". Emitters: EmitHistAbandonmentMinus(:10494), EmitHistCorruptionMinus(:10511), EmitHistVoidOverreachMinus(:10528), EmitMalacathBrokenFaithKinMinus(:10448), HandleDunmerClumsyCrime(:10469) all route through AwardCuratedSignalScaled. The reason is dropped at :2518 (unlike AwardCuratedSignal at :2497 which passes a typed signal reason).","Negative curated creed-violation piety moves DO land in the Ledger (AwardPiety -> RecordDeityDriver is called) but with reason="""" so the dashboard cannot display a 'why did this god drop' loss driver. expected_ledger=Y (the piety delta is written; the gap is the missing reason label, not the absence of a ledger row entirely). expected_toast=N and expected_chronicle=N (creed-violation loss is intentionally silent in current design). Verifier should check that RecordDeityDriver is called with a non-empty reason for the creed-violation path. Fix candidate: pass a named reason from AwardCuratedSignalScaled, or override in each EmitXxxMinus callsite before the AwardCuratedSignalScaled call."
