actor,eventId,eventName,sentiment,tier,baseDelta,dailyCap,cooldownDays,stanceGate,conditionTag,originGate,notes
azura,365,raise-undead,-,large,-1.5,1,1.0,,ActorTypeUndead,,necromancy defiles the soul; the gravest sin against Azura
azura,364,assault-innocent,-,medium,-1.0,2,0.5,,,,preying on the helpless betrays her mercy to the outcast
Boethiah,1,kill-hostile-beast,+,small,0.25,3,0,,,,trial by tooth and claw; strength proven against the wild
Boethiah,343,learn-word-of-power,+,small,0.5,3,0,,,,power seized through trial; self-betterment is her doctrine
Boethiah,362,steal-item,+,small,0.25,3,0,,owned,,the plot rewarded; taking by cunning pleases the Prince of Plots
Boethiah,315,sleep-in-inn,-,small,-0.25,3,0,,,,paid inn comfort denies the test; the worthy do not slumber easy
Boethiah,333,cook-meal,-,small,-0.25,3,0,,,,domestic ease is the solace of the unworthy; not of strength
Boethiah,351,clear-bounty-serve-time,-,small,-0.25,2,0.5,,,,submitting to another's law betrays the worthy tyrant who makes her own
Boethiah,305,sneak-attack-kill,-,small,-0.25,2,0.5,,,,the stealth opener shames the honorable victory her ancestors witness
Mephala,2,kill-hostile-humanoid,-,small,-0.25,3,0,,,,the open charge declared -- beneath the web; she keeps no count of it
Mephala,350,heal-or-cure-npc,-,small,-0.5,2,0,,,,open mending repairs the trust her corruption is meant to fray
Mephala,313,rest-under-open-sky,-,small,-0.25,3,0,,,,a life lived in the open keeps nothing hidden -- the web needs cover
The Hist,332,brew-potion,+,small,0.5,3,0,,,,distilling the marsh's living gifts into healing draughts honors the sap
The Hist,334,harvest-ingredient,+,small,0.5,3,0,,,,gathering the land's living growth honors the sap that gives the People life
The Hist,364,assault-innocent,-,small,-0.5,3,0,,,,raising a hand to the harmless wounds the shared root of the People
The Hist,331,enchant-item,-,small,-0.25,3,0,,,,binding trapped souls into dead things; souls belong to the Hist alone
sithis,302,kill-dragon,+,medium,1.0,1,0.5,,,,a dragon is order made flesh; its unmaking unbinds aedric time
sithis,360,pick-owned-lock,+,small,0.5,3,0,,owned,,a lock is imposed order; breaking it is a small unmaking
sithis,361,trespass,+,small,0.25,3,0,,,,boundaries are bindings; transgression frays the order around them
sithis,330,smith-item,-,small,-0.5,3,0,,,,forging makes lasting order; creation is the opposite of unmaking
sithis,331,enchant-item,-,small,-0.5,3,0,,,,binding power to endure in a made thing cements permanence
Malacath,302,kill-dragon,+,medium,0.75,1,0.5,,,,felling the mightiest beast is strength's truest proof
Malacath,344,increase-skill,+,small,0.25,3,0,,,,the outcast hardens himself; strength earned through hardship
Malacath,304,murder-defenseless,-,medium,-0.75,2,0.5,,,,killing the helpless is the coward's act the strong-god scorns
Malacath,315,sleep-in-inn,-,small,-0.25,3,0,,,,a soft inn bed softens the warrior; the exile scorns bought comfort
Tu'whacca,301,kill-daedra,+,medium,0.75,2,0.5,,ActorTypeDaedra,,banishing Daedra that prey on souls bound for the Far Shores
Tu'whacca,368,accept-daedric-artifact,-,medium,-1.0,2,0.5,,ActorTypeDaedra,,a Daedric bargain binds a soul from its proper passage to the Far Shores
Leki,302,kill-dragon,+,medium,1.0,1,0.5,,,,the impossible foe is the truest test of the perfect cut
Leki,340,read-skill-book,+,small,0.25,3,0,,,,the sword-singer trains the mind as keenly as the hand
Leki,364,assault-innocent,-,medium,-0.75,2,0.5,,,,striking one who cannot answer in kind mocks the duel
HoonDing,313,rest-under-open-sky,+,small,0.25,3,0,,,,the traveler's rest on the road; still bound onward with the dawn
HoonDing,360,pick-owned-lock,+,small,0.25,3,0,,owned,,a lock is a barred way; and no barred way stops the Make Way God
HoonDing,361,trespass,+,small,0.25,3,0,,,,crossing a threshold meant to bar passage is making way itself
HoonDing,315,sleep-in-inn,-,small,-0.25,3,0,,,,to settle soft in a paid inn bed is to halt; the foe of perseverance onward
HoonDing,365,raise-undead,-,medium,-0.75,2,0.5,,ActorTypeUndead,,chaining the dead back blocks the way onward they were owed
Z'en,350,heal-or-cure-npc,+,small,0.5,3,0,,,,tending the hurt repays a debt of care; the ledger set right
Z'en,344,increase-skill,+,small,0.25,3,0,,,,toil compounds; the laborer repays the world in earned skill
Z'en,304,murder-defenseless,-,medium,-1.0,2,0.5,,,,slaying one who owes no debt is a ledger flung past all balance
Z'en,364,assault-innocent,-,small,-0.5,3,0,,,,violence where no debt is owed throws the exchange out of true
magnus,341,read-spell-tome,+,medium,0.75,2,0.5,,,breton,Hidden Art treats formal magical study as benign old practice
magnus,342,read-lore-book,+,small,0.5,3,0,,,breton,Hidden Art values hidden magical reading when it is not mere loot
magnus,331,enchant-item,+,small,0.35,2,0.5,,,breton,Hidden Art accepts controlled occult craft but not exposure spam
magnus,365,raise-undead,-,large,-1.25,1,1.0,,ActorTypeUndead,breton,necromancy ruptures the benign magic frame
Mara,333,cook-meal,+,small,0.5,3,0,,,breton,Hidden Art cover rests on hearth and domestic continuity
Mara,314,sleep-in-bed,+,small,0.35,2,0.5,,,breton,a kept home helps the cover hold
Mara,362,steal-item,-,small,-0.5,3,0,,owned,breton,the hidden household cannot be protected by robbing another
Y'ffre,313,rest-under-open-sky,+,medium,0.75,2,0.5,,,breton,Green Way outdoor rites belong to Yffre not Kynareth
Y'ffre,334,harvest-ingredient,+,small,0.25,3,0,,,breton,curated gathering supports Green Way practice without making every herb a boon
Y'ffre,331,enchant-item,-,small,-0.35,3,0,,,breton,binding power into worked matter strains the Green Way
Y'ffre,303,hunt-wild-game,+,small,0.25,3,0,,,breton,the Green Pact hunt takes meat with respect; the slain are honored; never wasted
Y'ffre,333,cook-meal,+,small,0.5,3,0,,,breton,the Green Way wastes no kill; the slain are eaten; never squandered
Y'ffre,300,kill-undead,+,small,0.5,3,0,,ActorTypeUndead,breton,putting down the unliving restores the natural cycle the Green Way keeps
Y'ffre,350,heal-or-cure-npc,+,small,0.5,3,0,,,breton,mend living things as the Green Way intends
Y'ffre,365,raise-undead,-,medium,-1.0,2,0.5,,ActorTypeUndead,breton,raising the dead defiles the natural cycle the Green Way keeps
Y'ffre,364,assault-innocent,-,small,-0.5,3,0,,,breton,violence against the innocent breaks the Green Way harmony
Kynareth,313,rest-under-open-sky,+,small,0.25,2,0.5,,,breton,Kynareth remains a Divine contributor only and not Green Way owner
akatosh,351,clear-bounty-serve-time,+,medium,0.75,1,0.5,,,breton,answering lawful debt supports Knight Road order
akatosh,362,steal-item,-,medium,-0.75,2,0.5,,owned,breton,oath and order are broken by theft
Stendarr,351,clear-bounty-serve-time,+,medium,0.75,1,0.5,,,breton,atonement and justice repair the vow
Arkay,300,kill-undead,+,medium,0.75,3,0,,ActorTypeUndead,breton,Knight Road death duty uses Arkay without creating Orkey
trinimac,2,kill-hostile-humanoid,+,small,0.35,3,0,,,altmer,civilization defense can support the orthodox martial path
trinimac,368,accept-daedric-artifact,-,large,-1.5,1,1.0,,ActorTypeDaedra,altmer,Daedric service breaks the orthodox Trinimac frame
trinimac,304,murder-defenseless,-,medium,-1.0,2,0.5,,,altmer,the martial ancestor rejects cowardly slaughter
Stuhn,350,heal-or-cure-npc,+,medium,0.75,2,0.5,,,nord,mercy and prisoner care are Stuhn work
Stuhn,351,clear-bounty-serve-time,+,small,0.5,2,0.5,,,nord,lawful ransom and answered debt fit Stuhn
khenarthi,313,rest-under-open-sky,+,small,0.5,3,0,,,khajiit,the road home is under the sky
khenarthi,350,heal-or-cure-npc,+,small,0.5,3,0,,,khajiit,hospitality and comfort support the road home
rajhin,360,pick-owned-lock,+,small,0.35,3,0,,owned,khajiit,Rajhin favors artful entry more than brute theft
rajhin,304,murder-defenseless,-,medium,-0.75,2,0.5,,,khajiit,botched cruelty is not elegant theft
Talos,351,clear-bounty-serve-time,+,small,0.5,2,0.5,,,nord,costly public accountability can serve honorable rule
sithis,304,murder-defenseless,+,small,0.35,1,1.0,,,argonian,Void threshold signal only when other significant signals also exist
sithis,351,clear-bounty-serve-time,-,small,-0.25,2,0.5,,,argonian,settling back into civic order resists the Void threshold
Arkay,366,feed-as-vampire,-,large,-1.5,1,1.0,,,,vampiric feeding is undeath preying on the living; a core sin against the cycle
Stendarr,366,feed-as-vampire,-,large,-1.5,1,1.0,,,,the Vigil was raised to hunt the vampire; the feeding is the abomination itself
Mara,366,feed-as-vampire,-,medium,-1.0,2,0.5,,,,feeding on the sleeping and trusting violates the hearth she shelters
kyne,366,feed-as-vampire,-,medium,-0.75,2,0.5,,,,the vampire's hunger is a corruption of the breath of life she gives
kyne,365,raise-undead,-,medium,-1.0,2,0.5,,ActorTypeUndead,,binding the dead denies them the winds' last carrying
kyne,303,kill-animal-noncombat,-,small,-0.5,3,0,,,,wanton slaughter of peaceful beasts angers the mother of storms and beasts
Kynareth,303,kill-animal-noncombat,-,small,-0.5,3,0,,,,slaying harmless creatures wounds the living web she keeps
Kynareth,366,feed-as-vampire,-,medium,-1.0,2,0.5,,,,the vampire preys upon the living world the sky-goddess protects
Talos,366,feed-as-vampire,-,medium,-0.75,2,0.5,,,,vampirism corrupts the mankind the Hero-God champions
Tu'whacca,366,feed-as-vampire,-,large,-1.5,1,1.0,,,,each feeding chains another soul short of the Far Shores
auri-el,366,feed-as-vampire,-,medium,-1.0,2,0.5,,,,the blood-hunger drags the soul furthest from its ascent to the light
Dibella,366,feed-as-vampire,-,medium,-0.75,2,0.5,,,,predation on the living body defiles beauty and intimacy alike
khenarthi,366,feed-as-vampire,-,medium,-0.75,2,0.5,,,,the fed-upon soul is waylaid on the road home she keeps
azura,366,feed-as-vampire,-,medium,-1.0,2,0.5,,,,the Bal-corrupted hunger mocks her mercy toward the cursed
magnus,366,feed-as-vampire,-,small,-0.5,3,0,,,,blood-hunger is corrupted vitality outside the architect's lawful design
HoonDing,366,feed-as-vampire,-,medium,-0.75,2,0.5,,,,the parasite's hunger halts the sword onward; it makes no way
rajhin,366,feed-as-vampire,-,small,-0.5,3,0,,,,crude blood-hunger is not the artful cat's elegant taking
sithis,366,feed-as-vampire,+,small,0.5,3,0,,,,each feeding is a small unmaking; the Void does not judge hunger
Mephala,366,feed-as-vampire,+,small,0.35,3,0,,,,secret predation upon the trusting weaves neatly into the web
Leki,360,pick-owned-lock,-,small,-0.25,3,0,,owned,,the sword-singer meets the door's owner face to face; no picked wards
Baan Dar,351,clear-bounty-serve-time,-,small,-0.25,2,0.5,,,,the pariah pays no debt to the law that cast him out
Stuhn,313,rest-under-open-sky,+,small,0.25,3,0,,,,the shield-god kept the rough war-camps of old Atmora
alkosh,344,increase-skill,+,small,0.25,3,0,,,,disciplined mastery keeps the proper order of progression
Syrabane,332,brew-potion,+,small,0.5,3,0,,,,the restorative draught is the apprentice's first true ward
Syrabane,334,harvest-ingredient,+,small,0.25,3,0,,,,gathering what protects before it is needed
Syrabane,341,read-spell-tome,+,small,0.35,3,0,,,,the arts studied for shelter rather than for power
Syrabane,301,kill-daedra,+,small,0.5,3,0,,,,warding mortals from what should not walk among them
Syrabane,300,kill-undead,+,small,0.25,3,0.5,,ActorTypeUndead,,laying the restless down is protection rather than conquest
Syrabane,342,read-lore-book,+,small,0.2,2,0,,,,he is no scholar; study serves the ward and nothing else
Syrabane,350,heal-or-cure-npc,+,medium,0.75,2,0.5,,,,the ward given rather than prepared; his whole office in one act
Syrabane,365,raise-undead,-,medium,-1.25,1,1.0,,ActorTypeUndead,,binding the dead is the opposite of shelter
Syrabane,368,accept-daedric-artifact,-,medium,-1.25,1,1.0,,ActorTypeDaedra,,a Daedric bargain is a ward traded away
Syrabane,304,murder-defenseless,-,medium,-1.25,2,0.5,,,,the defenceless are precisely who the ward exists for
Syrabane,364,assault-innocent,-,small,-1.0,2,0.5,,,,the apprentices' protector does not raise a hand to the weak
Syrabane,362,steal-item,-,small,-0.25,3,0,,,,small dishonesty frays the trust protection depends on
