id,surface,race,target,tier,verify_layer,verdict,detail,requirement,authority
BC-0143,part_b_profile,ALL,Survey/status -- no exclusive-path ambiguity,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Survey/status readout must not imply multiple exclusive paths are simultaneously active,PDV_PreBetaRaceAcceptanceRubric.md Section4 Survey And Status Legibility -- Fail examples (third bullet)
BC-0145,part_b_profile,ALL,Survey/status legibility -- expected and edge builds,BETA,runtime-status,NEEDS-MANUAL,No gate-ledger verdict found for this race.,Survey/status must remain legible in both the expected build and the edge build for every race (e.g. Altmer expected: scholar/mage; edge: Exiled vampire or Talos pressure run),PDV_PreBetaRaceAcceptanceRubric.md Section8 Expected And Edge Builds -- Pass requires (third bullet)
BC-0146,part_b_profile,ALL,Survey/status legibility -- fiction language,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Survey Devotion and the MCM Player page must name the race-specific state in fiction-facing language without route IDs, internal counters, or debug labels; a player must be able to answer what changed, why it changed, and what to try next",PDV_PreBetaRaceAcceptanceRubric.md Section4 Survey And Status Legibility -- Pass requires
BC-0152,part_b_profile,Altmer,Survey/status -- Exiled vampire path legibility,BETA,runtime-status,NEEDS-MANUAL,Gate ledger verdict: Pass (runtime proof is the user's smoke lane).,"When Altmer curse state is CURSE_VAMPIRE the Exiled Altmer micro-path must be legible in Survey/status (showing redirected micro-path active, Tier 1 cap, self-reconstruction framing) and must not show Aedric devotion as active",PDV_Architecture_v3.md Section13.5 Altmer vampire micro-path (LOCKED)
BC-0153,part_b_profile,Altmer,Syrabane focus,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Syrabane focus available to Psijic or Divine Body: ward spells absorb 15% more; after protective spell cast, next non-protection spell cost -10%; magic-using enemies deal 15% less at Champion; College/magical-institution recognition privilege.",PDV_RaceDesign_Altmer.md -- Tier 3 Devoted / Syrabane focus
BC-0156,part_b_profile,Altmer,Xarxes focus,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Xarxes focus available to Psijic or Divine Body factions: lockpicking and Alteration +5%; after completing ancestry/family/record/genealogy quest, 24h magic cost reduction; reading rare tomes generates strong piety; Knowledge of Altmeri heritage generates strongest scoring.",PDV_RaceDesign_Altmer.md -- Tier 3 Devoted / Xarxes focus
BC-0166,part_b_profile,Dunmer,Tribunal Memory flavor,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,All Dunmer must carry Tribunal Memory as flavor only (no mechanical weight): occasional notification text referencing Vivec/Sotha Sil/Almalexia on certain devotional acts. Not a separate path or scoring system.,PDV_RaceDesign_Dunmer.md -- Tribunal Memory (LOCKED)
BC-0171,part_b_profile,Khajiit,Moon phase fallback,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"1.0 must use real Skyrim Masser/Secunda state if implementation-proven reliable; if hook is brittle, must use abstract 28-day fallback cycle. Must not depend on fragile visual/moon API assumptions. Full-moon amplifier fires once per full moon cycle for all substrate outdoor acts.",PDV_RaceDesign_Khajiit.md -- Moon phase source (LOCKED)
BC-0176,part_b_profile,Nord,Survey/status -- Nord vampire scar note,BETA,runtime-status,NEEDS-MANUAL,Gate ledger verdict: Pass (runtime proof is the user's smoke lane).,"After a Nord cures vampirism, Survey Devotion and MCM Player page must show a visible scar/status note indicating prior vampire suppression even after cure restores commitment offer access",PDV_Architecture_v3.md Section16.2 Phase 18B Nord-specific rule
BC-0184,name_resolution,Khajiit,Azura,BETA,data,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Azura/Azurah name resolution: Khajiit players must encounter the name Azurah in Khajiit-relevant display text and per-race response framing to match cultural naming conventions.,PDV_DaedricRacePrinceMatrix.csv Prince column 'Azura / Azurah'; PDV_DaedricContent_Manifest.md Section 7.1 'Azurah' framing note
BC-0189,name_resolution,Orc,Malacath,BETA,data,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Malacath/Mauloch name resolution: Orc-facing race manifest content must use 'Mauloch' as the Orcish name form; Daedric path per-race response for non-Orc races may use 'Malacath'.,PDV_DaedricRacePrinceMatrix.csv Prince column 'Malacath / Mauloch'
BC-0194,stance,Altmer,Altmer Daedric Consort rule,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Consort with Daedra (accept a Daedric quest) must fire -25 ThalmorAlignment (breaks oldest Altmer religious law); at Low alignment (Heterodox 0-30), Daedra worship risks exposure; this is a ThalmorAlignment shift only, not a separate piety penalty.",PDV_RaceDesign_Altmer.md -- ThalmorAlignment Track action table
BC-0203,stance,Dunmer,Dunmer Daedric deviation rule,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Non-Reclamation Daedric commitments by Dunmer (Malacath, Mehrunes Dagon, Molag Bal, etc.) must use the global Daedric path system only, presented as deviation/trial/pact/taboo; Aedric patron commitment is not a Dunmer 1.0 path; ancestor substrate remains present unless curse/posture state interrupts it.",PDV_RaceDesign_Dunmer.md -- Daedric deviation rule (LOCKED)
BC-0218,stance,Redguard,Forebear Arkay-parallel overlap,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Forebear Redguards may score piety through Arkay/Akatosh/Zenithar/Stendarr/Dibella/Julianos as Yokudan interpretive parallels; Yokudan names must remain primary in gameplay; Imperial-parallel scoring must flow through the Yokudan framework, not directly through those Divines.",PDV_RaceDesign_Redguard.md -- Forebear interpretive overlap (LOCKED)
BC-0228,record_flag,ALL,Focusable-only deity records (R5),BETA,esp,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Only patrons the player can commit to as a primary focus get deity QUST records; broad-lane-only pantheon flavor gods must NOT receive deity records in V1.,PDV_Phase2_DeityRoster_and_ArchitectureRulings.md Section R5
BC-0232,record_flag,ALL,Shared deity records (R4),BETA,esp,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,A deity worshipped by multiple races must be ONE QUST created once by its owner race (create:true) and referenced by reuse races (create:false) with their stance field added via --reconcile-shared-deity; no ownership collision or orphan reuse is permitted.,PDV_Phase2_DeityRoster_and_ArchitectureRulings.md Section R4
BC-0233,record_flag,ALL,T1 reward records authored and manager-wired status,BETA,esp,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,All ten T1 SPEL/MGEF records must show implementationStatus = records-authored-manager-wired-pending-runtime-proof; no race may advance to higher tiers while its T1 status remains pending.,PDV_Phase20_RewardRecordContracts.json -- implementationStatus field per race entry
BC-0241,record_flag,Breton,Breton reuses Imperial Divines (no new deity QUSTs),BETA,esp,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Breton creates ZERO new deity QUSTs; Akatosh/Stendarr/Arkay/Mara/Julianos/Kynareth must have Stance_Breton=NATIVE added via --reconcile-shared-deity after the Imperial spec has run; FLST 017E47 must not gain any Breton additions.,PDV_BretonRewardRecords.spec.json Section deityQuests all entries create:false; Section authoringPlan noDeityQuestStructureNeeded; Section wiring 'Do not add anything to FLST'
BC-0255,record_flag,Nord,Imperial Divine stance reconciliation for Nord,BETA,esp,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,The 8 Imperial-owned Divines (Akatosh/Mara/Arkay/Stendarr/Zenithar/Dibella/Julianos/Kynareth) must have Stance_Nord=NATIVE added via --reconcile-shared-deity; do NOT recreate or re-add to FLST.,PDV_NordRewardRecords.spec.json Section deityReuse; Section authoringPlan deityReuse
BC-0265,reward_tier,ALL,<=2 always-on loud boon families ceiling,BETA,runtime-status,NEEDS-MANUAL,No gate-ledger verdict found for this race.,No race may have more than two meaningful always-on boon families active simultaneously; foreground patron/path/mode must remain the loudest steady reward layer.,"PDV_RaceRewardBudgetLedger.md -- Budget Rules section, rules 1 and 3"
BC-0273,reward_tier,ALL,Capstone cheat-death: once per day StorageUtil key,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Every killing-blow/low-HP save across all capstone signatures must use a once-per-day StorageUtil daily key; no cheat-death may fire more than once per in-game day.,"PDV_Phase2_CapstoneSignatures.md -- LOCKED implementation rules, rule 1"
BC-0274,reward_tier,ALL,Capstone signatures are additive on top of T3 stat lines,BETA,data,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,T3 Champion abilities must carry both the stat lines (~12% magnitudes) AND the scripted signature; signatures are additive on top of tier buffs; stat half stays capped; special effect lives in the qualitative signature.,PDV_Phase2_CapstoneSignatures.md -- Structure (binding) section
BC-0275,reward_tier,ALL,Capstone stat magnitudes: ~12% ceiling rule,BETA,data,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"All capstone stat lines must stay at or below approximately 12% combat-stat magnitudes (per Decision-2 ceiling); deliberate exceptions (Alkosh ResistMagic 15, Baan Dar Unarmed 10, Rajhin Unarmed 10) are explicitly documented and must not be replicated without documenting a new exception.",PDV_Phase2_CapstoneSignatures.md -- Structure (binding) section; Khajiit LOCKED section stat tweaks note
BC-0276,reward_tier,ALL,Contextual favor one-active cap,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,At most one active contextual favor family may be active per player at any time; this cap applies across all races.,PDV_RaceRewardBudgetLedger.md -- Budget Rules section; PDV_RaceEffectReviewLedger.md -- Khajiit T1 Baseline stack cap
BC-0277,reward_tier,ALL,Curse/Daedric native architecture visibility rule,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"A curse or Daedric path must not silently replace native race architecture; native architecture remains visible and the curse path carries price, stigma, exit, and residue.","PDV_RaceRewardBudgetLedger.md -- Budget Rules section, rule 8; Cross-Race Balance Flags -- Curse path overwrite"
BC-0278,reward_tier,ALL,Fallback-as-floor binding rule for all fiddly capstone detections,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"For every capstone signature flagged fiddly (marked with a warning), the robust fallback must be built as the guaranteed baseline and the precise detection layers on top; if precise detection fails to fire, effect silently degrades to fallback; no capstone may end up non-functional because a detection did not fire.","PDV_Phase2_CapstoneSignatures.md -- LOCKED implementation rules, rule 3"
BC-0280,reward_tier,ALL,Global one-active-reward stack rule,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Only one first-tier race reward may be active per player origin lane at a time; stale first-tier rewards must be removed before adding another; no stacking with a higher tier of the same lane.,PDV_Phase20_RewardRecordContracts.json -- globalStackRule field
BC-0284,reward_tier,ALL,One active capstone at a time (one-active-emphasis/path/patron rule),BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Only one capstone signature may be active per character at any time due to the one-active-emphasis/path/patron rule; switching focus/path/life-mode must remove the prior capstone before granting a new one.,PDV_Phase2_CapstoneSignatures.md -- Structure (binding) section
BC-0285,reward_tier,ALL,One save per race rule,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Each race's capstone set carries at most one cheat-death/low-HP save; Argonian People's once/day ally-targeting proc is excluded from this count (targets ally, not player); the race-to-save mapping is binding and cannot be violated by adding new capstones.","PDV_Phase2_CapstoneSignatures.md -- LOCKED implementation rules, rule 2"
BC-0290,reward_tier,Altmer,Altmer reward ceiling: no third steady stack,BETA,runtime-status,NEEDS-MANUAL,Gate ledger verdict: Pass (runtime proof is the user's smoke lane).,Altmer reward ceiling is Auri-El foundation plus one secondary focus plus one active contextual favor family; ThalmorAlignment may modify or unlock but must not add a third steady boon stack.,"PDV_RaceRewardBudgetLedger.md -- Focused Pass: Altmer, Reward ceiling; PDV_RaceEffectReviewLedger.md -- Altmer coherence baseline row"
BC-0291,reward_tier,Altmer,Altmer reward floor: net-positive without perfect play,BETA,runtime-status,NEEDS-MANUAL,Gate ledger verdict: Pass (runtime proof is the user's smoke lane).,"Basic dawn practice, study, magic milestones, and coherent behavior must keep a non-edge Altmer player net-positive without perfect play; positive income from dawn/study/magic milestones must trend higher than ordinary pressure.","PDV_RaceRewardBudgetLedger.md -- Focused Pass: Altmer, Reward floor"
BC-0292,reward_tier,Altmer,Auri-El Champion,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Auri-El Tier 3: magic regenerates 25% faster in non-combat; Auri-El shrine gives maximum blessing; at dawn: magic cost -15% until midday. Lorkhan Adjacency Penalty fires normally at Champion -- reaching Champion while absorbing penalties is the statement.,PDV_RaceDesign_Altmer.md -- Tier 3 Devoted / Auri-El focus
BC-0295,reward_tier,Altmer,Auri-El T3 capstone signature -- Ascendant Light,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Altmer Auri-El T3 Champion ability must carry both stat lines and the Ascendant Light scripted signature: luminous cheat-death (ward + heal + brief slow-time + coherence resolve), once per day; fallback drops slow-time but still fires ward+heal.","PDV_Phase2_CapstoneSignatures.md -- Altmer section (DRAFT, pending talk-through)"
BC-0296,reward_tier,Altmer,Magnus Champion,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Magnus Tier 3: magic regen 20% faster non-combat; College gives maximum recognition privilege; after magic skill milestone (25/50/75/100), that school costs 10% less for 24h; Alteration and Illusion cost -10% permanently at Champion.",PDV_RaceDesign_Altmer.md -- Tier 3 Devoted / Magnus focus
BC-0298,reward_tier,Altmer,Magnus T3 capstone -- The Architect's Aperture,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Altmer Magnus T3 must carry daytime/outdoors magicka surge + disciplined-school cost reduction + foresight magic-ward proc (M9 daytime-inverse); fallback is already confirmed buildable.,PDV_Phase2_CapstoneSignatures.md -- Altmer section (DRAFT)
BC-0300,reward_tier,Altmer,Xarxes T3 capstone -- The Long Ledger,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Altmer Xarxes T3 must carry stacking/decaying coherence buff (ResistMagic + MagickaRate) from study/record acts plus once/day recorded self-restoration; fallback decays per dawn if study-hook is unreliable.,PDV_Phase2_CapstoneSignatures.md -- Altmer section (DRAFT)
BC-0301,reward_tier,Argonian,Argonian People T3 capstone -- Pillar of the Saxhleel,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Argonian People T3 must carry ally-projected heal/disease aura plus once/day ward+rally when an ally reaches low HP (M3-variant + M4 retarget); fallback targets single follower only.,PDV_Phase2_CapstoneSignatures.md -- Argonian section (DRAFT)
BC-0302,reward_tier,Argonian,"Argonian reward ceiling: Hist + one emphasis, Sithis not default",BETA,runtime-status,NEEDS-MANUAL,Gate ledger verdict: Pass (runtime proof is the user's smoke lane).,Argonian reward ceiling is Hist substrate plus one strongest active emphasis (People or Void/Sithis); Void may stabilize but must not replace Hist or become the best generic stealth/combat path.,"PDV_RaceRewardBudgetLedger.md -- Focused Pass: Argonian, Reward ceiling"
BC-0303,reward_tier,Argonian,Argonian reward floor: non-assassin Hist/People viability,BETA,runtime-status,NEEDS-MANUAL,Gate ledger verdict: Pass (runtime proof is the user's smoke lane).,"A normal non-assassin Argonian must maintain identity through water/rest/reflection, bed of choice, and community aid without Dark Brotherhood content; Hist/People rewards must be visible before Void expansion.","PDV_RaceRewardBudgetLedger.md -- Focused Pass: Argonian, Reward floor; Immediate Work Queue item 2"
BC-0304,reward_tier,Argonian,Argonian Sithis/Void T3 capstone -- The Fearless Nothing + primal unarmed,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Argonian Sithis/Void T3 must carry fear/flee immunity + cheat-death Void-slip (M6, once per day) + Unarmed +10; fear-immunity fallback is once-per-combat auto-dispel; this is the canonical primal-unarmed build home.",PDV_Phase2_CapstoneSignatures.md -- Argonian section (DRAFT)
BC-0307,reward_tier,Argonian,Hist Champion,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Hist-Touched: in wetland/water/underground-water environments: damage resist 10%, +15 sneak (reduced detection threshold), +3% attack speed. Water environments are safer (cold/hostile weather near water mitigated).",PDV_RaceDesign_Argonian.md -- Tier 3 / Hist Champion
BC-0310,reward_tier,Argonian,Sithis Champion,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Void-Held: near death (<20% health) +50 stamina regen burst 10 seconds; Dark Brotherhood maximum recognition; after DB contract +10% movement speed +15 sneak for 60 seconds. DB completion generates strongest single piety events for Argonian.,PDV_RaceDesign_Argonian.md -- Tier 3 / Sithis Champion
BC-0313,reward_tier,Bosmer,Bandit Road Tier 3,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Baan Dar's Luck: once per in-game week, surviving near-death (<10% health and winning or escaping fatal encounter) gives 24h minor stat bonus pulse. Outside city walls generates slightly stronger piety than inside. Pariah solidarity piety strong.",PDV_RaceDesign_Bosmer.md -- The Bandit Road Tier 3
BC-0314,reward_tier,Bosmer,Bosmer Bandit Road T3 -- Baan Dar's Luck (LOCKED),BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Bosmer Bandit Road T3 must carry: (1) passive stat Armor +12, HealRateMult +15, Sneak +10; (2) sleeping rough sharpens next-day stealth (M7); (3) every few days a killing blow is survived -- vanish briefly + attacker staggers + lingering luck streak (M6, once per day).","PDV_Phase2_CapstoneSignatures.md -- Bosmer LOCKED section, Bandit Road"
BC-0315,reward_tier,Bosmer,Bosmer Exchange T3 -- Z'en's Reckoning (LOCKED),BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Bosmer Exchange T3 must carry: (1) passive stat Speech +12, CarryWeight +50, DamageResist +8; (2) ledger repay -- portion of damage taken added to next strike vs that enemy + bonus vs already-hostile targets (M5).","PDV_Phase2_CapstoneSignatures.md -- Bosmer LOCKED section, The Exchange"
BC-0316,reward_tier,Bosmer,Bosmer Living Story T3 -- Story-Keeper (LOCKED),BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Bosmer Living Story T3 must carry: (1) passive stat Speech +12, HealRateMult +15, MagickaRateMult +5; (2) warmer disposition/prices + heal-rate boost while traveling with a companion (M3); (3) proactive once/day rally + minor ward to nearby allies (M4 rally, NOT a low-HP save).","PDV_Phase2_CapstoneSignatures.md -- Bosmer LOCKED section, Living Story"
BC-0317,reward_tier,Bosmer,Bosmer Old Contract T3 -- Keeper of the Pact (LOCKED),BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Bosmer Old Contract T3 must carry: (1) passive stat Archery +12, Sneak +12, ResistPoison +10; (2) beasts won't attack unprovoked + once/day beast ally call (M1); (3) per-kill stacking all-weapon damage surge + small speed, 5 stacks/30s window, small stamina restore capped to 5 kills/30s (M2).","PDV_Phase2_CapstoneSignatures.md -- Bosmer LOCKED section, Old Contract"
BC-0318,reward_tier,Bosmer,Bosmer one-save-per-race rule: Bandit Road holds the save,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Only Bosmer Bandit Road (M6 cheat-death) may carry the player-saving low-HP kill refusal; Living Story must use the proactive rally (not a low-HP save); no other Bosmer capstone may add a second cheat-death.,"PDV_Phase2_CapstoneSignatures.md -- LOCKED implementation rules, rule 2"
BC-0325,reward_tier,Bosmer,Old Contract Tier 3,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Y'ffre Mark: archery damage +8% cumulative in outdoor/forest; animals never flee; first-arrow hunting bonus damage; hunting kills give chance at extra pelts/meat. GPC must be 50+ (Observant band) maintained. This is the highest Bosmer ceiling.,PDV_RaceDesign_Bosmer.md -- Old Contract Tier 3
BC-0327,reward_tier,Breton,Breton capstone signatures reused from Nine Divines/Kynareth pool,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Breton T3 capstone must reuse the focused god's signature from the Nine Divines/Kynareth pool -- Knight's Road gets Stendarr/Mara/Arkay/Julianos; Green Way gets Kynareth (+Hircine fork via 20C); Hidden Art gets Daedric via 20C + Julianos (lawful); no distinct Breton capstone is authored.,PDV_Phase2_CapstoneSignatures.md -- Breton section
BC-0328,reward_tier,Breton,Breton reward ceiling: one tradition spine + one focused patron,BETA,runtime-status,NEEDS-MANUAL,Gate ledger verdict: Pass (runtime proof is the user's smoke lane).,Breton reward ceiling is one tradition spine plus one focused patron within it; cross-track pressure may modify or penalize but must not add extra always-on boon families.,"PDV_RaceRewardBudgetLedger.md -- Focused Pass: Breton, Reward ceiling"
BC-0332,reward_tier,Breton,Green Way Tier 3,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Y'ffre Champion: forest armor +10, hunting-shot bonus damage, nature-site quests double piety; werewolf fork if Green accepted: animals don't attack in beast form. Magnus Champion: spell cost -10% all schools, Alteration -15%. Phynaster Champion: resist magic 15% cumulative.",PDV_RaceDesign_Breton.md -- Tier 3 Devoted / Green Way
BC-0334,reward_tier,Breton,Hidden Art Tier 3,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Hermaeus Mora Champion: +10%/+20% XP in Alteration/Conjuration/Illusion (Hidden vs Notorious). Hircine Champion: beast form extended, hunting piety stronger. Nocturnal Champion: sneak attack +15%, post-theft near-invisibility window. Namira Champion: degraded condition survival, hunger penalties lower.",PDV_RaceDesign_Breton.md -- Tier 3 Devoted / Hidden Art
BC-0336,reward_tier,Breton,Knight's Road Tier 3,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Stendarr Champion: Knight's Aegis -- damage resist 15% when actively protecting someone in combat. Akatosh Champion: unbroken devotion streaks (14+ days, Integrity 75+) give +15% skill XP. Mara Champion: after helping family/community next rest heals to full; companion healing bonus.",PDV_RaceDesign_Breton.md -- Tier 3 Devoted / Knight's Road
BC-0337,reward_tier,Dunmer,Azura Champion,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Azura Tier 3: amplified dawn-blessing (fire + magic resistance 20% combined from dawn until noon); star-born favor (nighttime magic cost -10%); Azura's Star responds differently at Tier 3; truth-revealing choices and transformation arcs generate piety.,PDV_RaceDesign_Dunmer.md -- Tier 3 Devoted / Azura focus
BC-0339,reward_tier,Dunmer,Boethiah Champion,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Boethiah Tier 3: after defeating significant enemy (quest boss/named/considerably higher level), 24h carry weight +25 and minor power attack stamina reduction; combat vs Altmer generates extra piety.",PDV_RaceDesign_Dunmer.md -- Tier 3 Devoted / Boethiah focus
BC-0341,reward_tier,Dunmer,Dunmer Azura T3 -- The Moonshadow Warden,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Dunmer Azura T3 must carry dusk/dawn detect-life + magicka surge + foresight ward that also steadies allies (M9 + ally-steady); buildable per spec.,PDV_Phase2_CapstoneSignatures.md -- Dunmer section (DRAFT)
BC-0342,reward_tier,Dunmer,Dunmer Boethiah T3 -- The Duel of the Worthy,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Dunmer Boethiah T3 must carry bonus vs strongest foe + felling it rallies you + cows weaker bystanders (champion-duel); fiddly detection uses live target-marking; fallback trigger is kill-higher-level target; fallback must be the guaranteed baseline.,"PDV_Phase2_CapstoneSignatures.md -- Dunmer section (DRAFT); LOCKED implementation rules, rule 3"
BC-0343,reward_tier,Dunmer,Dunmer Mephala T3 -- The Spinner's Web,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Dunmer Mephala T3 must carry web-sense detect-life + sneak-attack fade (M10) + fray nearby foes (Illusion); Illusion level-cap is fiddly; fallback is stagger; fallback must be guaranteed baseline.,"PDV_Phase2_CapstoneSignatures.md -- Dunmer section (DRAFT); LOCKED implementation rules, rule 3"
BC-0345,reward_tier,Dunmer,Dunmer reward ceiling: ancestor substrate + one Reclamation foreground,BETA,runtime-status,NEEDS-MANUAL,Gate ledger verdict: Fail (runtime proof is the user's smoke lane).,Dunmer reward ceiling is ancestor substrate plus one Reclamation foreground focus; other Good Daedra may remain background at reduced weight but must not create three simultaneous focus packages.,"PDV_RaceRewardBudgetLedger.md -- Focused Pass: Dunmer, Reward ceiling"
BC-0353,reward_tier,Imperial,Imperial Akatosh T3 -- Endurance of the Covenant,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Imperial Akatosh T3 must carry multi-day cheat-death (killing blow refused + brief ward + slow-time temporal stand); fallback drops slow-time but still fires; once per day; Imperial carries the Akatosh cheat-death (one per race).,PDV_Phase2_CapstoneSignatures.md -- Imperial section (DRAFT); LOCKED rules 1 and 2
BC-0354,reward_tier,Imperial,Imperial Arkay T3 -- Ward of the Cycle,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Imperial Arkay T3 must carry bonus damage + turn vs undead + heal pulse on undead death + necro ward (perk-vs-undead + kill-heal); fallback is flat ward; reused by Breton Knight's Road.,PDV_Phase2_CapstoneSignatures.md -- Imperial/Nine Divines section (DRAFT)
BC-0356,reward_tier,Imperial,Imperial Mara T3 -- Compassion of the Mother,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Imperial Mara T3 must carry self-heal echo as HoT to nearby allies + companion heal/disposition boost (M3 + heal-echo); fallback triggers on ally low-HP; this signature is reused by Breton Knight's Road.,PDV_Phase2_CapstoneSignatures.md -- Imperial/Nine Divines section (DRAFT)
BC-0357,reward_tier,Imperial,Imperial reward ceiling: broad + one focused; ConcordatStanding is pressure not buff,BETA,runtime-status,NEEDS-MANUAL,Gate ledger verdict: Fail (runtime proof is the user's smoke lane).,"Imperial reward ceiling is broad Nine Divines plus one focused primary; ConcordatStanding modifies access, offer priority, and pressure but must not be a parallel always-on buff track.","PDV_RaceRewardBudgetLedger.md -- Focused Pass: Imperial, Reward ceiling"
BC-0358,reward_tier,Imperial,Imperial Stendarr T3 -- Bulwark of Mercy,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Imperial Stendarr T3 must carry guardian aura (nearby allies gain armor) + bonus vs daedra/undead + block-reactive stagger; fallback drops block-stagger; reused by Breton Knight's Road.,PDV_Phase2_CapstoneSignatures.md -- Imperial/Nine Divines section (DRAFT)
BC-0359,reward_tier,Imperial,Imperial Talos T3 -- Triumph of Faithful Defiance,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Imperial Talos T3 must carry stacking conquest momentum on kills + bonus vs great foes, gated/scaled by ConcordatStanding defiance (M2 + perk); reused by Nord Talos.",PDV_Phase2_CapstoneSignatures.md -- Imperial/Nine Divines section (DRAFT)
BC-0360,reward_tier,Imperial,Imperial Zenithar T3 -- Prosperity of Fair Dealing,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,Imperial Zenithar T3 must carry first good trade/craft of each day yielding a gold rebate + focus buff + better barter; once per day economic trigger; buildable.,PDV_Phase2_CapstoneSignatures.md -- Imperial/Nine Divines section (DRAFT)
BC-0368,reward_tier,Khajiit,Alkosh Champion,BETA,source,NEEDS-MANUAL,No machine-checkable identifier extractable from requirement/check_hint.,"Rarest Champion: defeating named dragon gives 48h blessing pulse (resist fire 15%, minor health regen in combat); named dragon fights generate exceptional piety; anti-chaos/order-keeping quest choices generate strong piety.",PDV_RaceDesign_Khajiit.md -- Alkosh Champion
